ASTPrep V3 — Roadmap produit détaillée,,,,,
Annexe contrat développement — Chaque feature a une description précise + critères d'évaluation mesurables,,,,,
,,,,,
Feature,Description (ce qui doit être construit),Critères d'évaluation (comment vérifier que c'est réussi),Impact,Lot,Période
LOT 1 — FONDATIONS & ARCHITECTURE (Avril–Mai),,,,,
"Architecture multi-produits
(Layout, Sidebar, Routing)","Layout React avec sidebar fixe 240px + zone de contenu principale. Sidebar : logo ASTPrep, sélecteur produit dropdown (TAGE MAGE actif, TOEIC cliquable, Oraux/Dossier grisés badge 'Bientôt'), menu organisé en 3 groupes (Apprentissage / Sous-tests / Outils), avatar + badge Pro en bas. Routing React Router v6 avec 20 routes. Thème dark/light via CSS variables HSL.","• La sidebar s'affiche sur toutes les pages, lien actif surligné
• Le sélecteur produit switch entre TAGE MAGE et TOEIC (dashboards séparés)
• Les 20 routes sont navigables sans erreur 404
• Le dark mode fonctionne sur toutes les pages sans texte illisible
• La sidebar se rétracte via le bouton toggle
• Chaque groupe de menu est visuellement séparé",Élevé,Lot 1,Avr–Mai
"Dashboard TAGE MAGE
(Bento grid + popup défi)","Page d'accueil grille bento 4 colonnes. Cards : courbe progression TM blancs (AreaChart), score estimé 387/600 avec tooltip FAQ + sparkline, temps semaine, programme du jour (3 activités cliquables → /parcours), cours live du soir, streak + 'Top X% de la plateforme', erreurs à réviser avec badge. Popup défi du jour (2 défis + points + lien classement) s'ouvre 1x/jour via localStorage.","• Toutes les cards bento sont visibles sans scroll sur 1440×900
• Le popup défi du jour s'ouvre 1 seule fois par jour (vérifié via localStorage)
• Le tooltip du score estimé affiche l'explication + lien FAQ
• Clic sur 'Programme du jour' navigue vers /parcours
• Clic sur 'Erreurs à réviser' navigue vers /carnet
• Les graphiques Recharts s'affichent avec données mockées
• Le streak affiche le pourcentage de la plateforme",Élevé,Lot 1,Avr–Mai
"Bibliothèque de cours
(Catalogue + page leçon)","CATALOGUE : nav horizontale sticky 7 onglets (Stratégie, Compréh., Calcul, R&A, CM, Expression, Logique) avec icône Lucide + couleur par section + trait animé Framer Motion. Chapitres en accordéon avec indicateur statut (terminé/en cours/pas commencé), barre progression, liste leçons dépliable.
PAGE LEÇON : vidéo placeholder pleine largeur, sous la vidéo : prof + speed selector + méta. 4 onglets (Transcript, Notes, Drill, Ask an Expert). Le transcript s'ouvre en dessous, les 3 autres en panneau latéral droit (la vidéo se réduit à 55%). Drill = 5 QCM avec correction. Ask an Expert = mini-forum mocké. Feedback thumbs up/down + favori.","• Les 7 sections s'affichent avec icônes et couleurs correctes
• Le trait animé se déplace au changement d'onglet
• Les accordéons s'ouvrent/ferment avec animation
• Les leçons terminées sont barrées/grisées
• Le clic sur une leçon ouvre la modale avec bouton 'Regarder'
• La page leçon charge la vidéo placeholder + les 4 onglets fonctionnent
• Le panneau latéral s'ouvre sans cacher la vidéo (vidéo réduite à 55%)
• Le drill affiche 5 questions avec correction immédiate
• Les notes sont éditables avec sauvegarde (localStorage)
• Navigation 'Cours suivant/précédent' fonctionne",Élevé,Lot 1,Avr–Mai
"Cours Live
(Session du soir + replays)","Page avec card mise en avant du cours du soir (badge 'En direct', prof, horaire, boutons rejoindre/calendrier/sujet). Liste des replays avec thumbnail, titre, section, prof, date.","• La card du cours live affiche les bonnes infos
• Le bouton 'Rejoindre' ouvre un lien externe
• Les replays sont listés avec les métadonnées
• Le lien depuis le dashboard fonctionne",Moyen,Lot 1,Avr–Mai
"LOT 2 — ENTRAÎNEMENT, SOUS-TESTS & CARNET (Mai–Juin)",,,,,
"Catalogue de sous-tests
(Bibliothèque d'exercices)","Nav horizontale sticky 6 sections (sans Stratégie). Toggle Généralistes/Thématiques. Cards par sous-test : icône statut, titre, nb questions, durée, score/60 si fait (couleur vert/orange/rouge), moyenne ASTPrep, boutons Lancer/Correction.","• Les 6 sections s'affichent avec icônes correctes
• Le toggle Généralistes/Thématiques filtre la liste
• Les sous-tests faits affichent le score /60 avec la bonne couleur
• Les sous-tests non faits affichent le bouton 'Lancer'
• Le bouton 'Correction' navigue vers la page correction
• La moyenne ASTPrep est affichée sous le score",Élevé,Lot 2,Mai–Juin
"Interface de quiz
(Composant réutilisable)","Composant QuizInterface utilisé par sous-tests, entraînement et carnet. Header sticky : titre + chrono (rouge si <60s). Grille de 15 pastilles numérotées (couleur = répondu/flaggé/non répondu/actif). Zone question : numéro, texte, 5 choix QCM en boutons full-width, bouton flag, navigation ←→. Bouton Soumettre avec warning si questions sans réponse. Soumission auto à 0:00.","• Le chrono décompte en temps réel et passe en rouge sous 60s
• Les pastilles changent de couleur quand on répond
• Le flag toggle fonctionne (pastille jaune)
• On peut naviguer entre les questions via les pastilles et les flèches
• Le bouton Soumettre affiche un warning si des questions sont vides
• La soumission auto se déclenche à 0:00
• Le composant accepte les props : title, questions, timerSeconds, immediateCorrection",Critique,Lot 2,Mai–Juin
"Écran Personal Best
(Animation record battu)","Écran interstitiel conditionnel (s'affiche uniquement si score > record précédent). Animation : compteur qui défile de 0 au score en 1.5s, badge 'Nouveau record !' avec Trophy en scale-in, confettis (10 particules), comparaison ancien/nouveau record, bouton 'Voir la correction'.","• L'écran s'affiche UNIQUEMENT si le score bat le record
• Le compteur anime de 0 au score en ~1.5s
• Les confettis s'affichent pendant ~2s
• L'ancien et le nouveau record sont comparés
• Le bouton navigue vers la correction
• Si ce n'est PAS un record, cet écran est sauté",Moyen,Lot 2,Mai–Juin
"Mini-fenêtre post-exercice
(Debrief avant correction)","Écran intermédiaire entre la soumission et la correction. Score en grand (X/60 + bonnes réponses). Card '3 notions à travailler' avec nom, ratio, couleur rouge/orange. Micro-feedback adaptatif (1 phrase selon contexte : record, progrès, baisse, 1ère session). Bouton principal 'Afficher la correction'. Lien retour dashboard.","• Le score s'affiche correctement (/60 pour sous-tests, /600 pour TM blancs)
• Les 3 notions faibles sont identifiées et affichées avec code couleur
• Le message de feedback est adapté au contexte (4 cas)
• Le bouton 'Afficher la correction' navigue vers la correction
• Cet écran apparaît APRÈS le Personal Best (si applicable) et AVANT la correction",Élevé,Lot 2,Mai–Juin
